symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
EWYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,2,1,0.0758,0,0.0,,
SAMSUNGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,13,0,1,0.0378,0,1.14,,
ZECUSDT,1,85,flow_spring,экстремальный,25,недели,0.0,66.0,0.0,0.0,55.6,0.0,365.619979324464,218,6,2,0.0412,0,3.74,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,105,3,5,0.1803,0,1.09,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,0,2,0.2759,1,1.36,,
MUUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,0,1,0.2521,1,1.17,,
QQQUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,47,0,3,0.3313,0,0.0,,
UNIUSDT,1,85,flow_churn,экстремальный,25,недели,0.0,0.0,66.5,0.0,53.8,0.0,3.2858881704788825,104,2,10,0.0386,0,1.35,,
INTCUSDT,1,83,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,69.4,0.0,82.72306723731514,65,5,0,0.0,1,3.57,,
AXTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
AKEUSDT,0,42,none,,0,,0.0,0.0,42.4,0.0,0.0,0.0,,147,6,0,0.0,0,0.0,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,0,2,0.1251,0,1.19,,
NVDAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,32,0,3,0.1552,0,0.0,,
AAPLUSDT,1,85,flow_churn,экстремальный,2,дни,0.0,0.0,72.7,0.0,0.0,0.0,290.6399010214268,37,4,1,0.4122,0,0.0,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,0,2,0.075,1,2.0,,
CRCLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,24,0,2,0.1075,1,2.54,,
MSTRUSDT,1,93,flow_churn,экстремальный,12,недели,0.0,0.0,88.0,0.0,0.0,0.0,86.35000000000001,39,3,3,0.2319,0,1.69,,
MRVLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,1,0.0097,1,2.1,,
AAVEUSDT,1,82,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,67.2,0.0,80.31,90,2,2,0.148,1,1.14,,
NBISUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,1,0.0816,1,1.51,,
DEXEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,251,2,0,0.0,0,29.1,,
PUMPUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.0016933919544418626,46,4,1,0.3483,0,2.0,,
NEARUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,1.5929991595584978,138,4,0,0.0,1,3.67,,
TSLAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,19,1,0,0.0,1,0.0,,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,1,5,0.2297,0,1.14,,
GOOGLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,32,2,3,0.1424,1,0.0,,
PAXGUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,3920.551122477452,140,6,3,0.188,1,0.0,,
ONDOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,121,3,1,0.1566,0,1.17,,
ONUSDT,1,75,flow_churn,сильный,12,недели,0.0,0.0,54.5,0.0,0.0,0.0,0.07891955956017484,123,6,0,0.0,0,0.0,,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,1,2,0.2443,1,1.53,,
AMZNUSDT,0,23,none,,0,,0.0,0.0,23.3,0.0,0.0,0.0,,25,3,1,0.4249,0,0.0,,
CAPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
WLDUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,0.2911201387218385,156,4,5,0.0448,1,3.2,,
CFXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,145,1,3,0.162,1,1.31,,
AMDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,3,0.1422,1,0.0,,
