symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
POLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,95,0,3,0.2173,1,1.89,,
HOLOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,95,6,2,0.0807,0,1.57,,
ASMLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
ZILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,122,3,1,0.0878,1,1.96,,
USDCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,138,1,1,0.1421,0,0.0,,
VELVETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,171,6,0,0.0,1,38.07,,
SKLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,196,0,1,0.1031,0,1.06,,
FLNCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,1,0.0286,0,1.74,,
0GUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,78,0,0,0.0,1,1.74,,
APEUSDT,1,75,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,54.5,0.0,0.10101443022026489,127,2,1,0.1311,1,3.45,,
IBMUSDT,1,77,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,57.3,0.0,214.1061162876472,7,0,1,0.2215,1,0.0,,
RIVERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,61,0,0,0.0,1,53.22,,
HEMIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,0,3,0.1363,1,1.73,,
